player,avg_G,avg_MP,avg_FG%,avg_3P%,avg_FT%,avg_ORB,avg_DRB,avg_TRB,avg_AST,avg_STL,avg_BLK,avg_TOV,avg_PTS,avg_eFG%,seasons_played,final_season_pts,wnba_team,team_ppg,team_rpg,team_apg,team_spg,team_bpg,team_ortg,team_drtg,team_pace,team_ts,draft_pick,predicted_RIS
Angela Dugalic,31.46666666666667,21.566666666666663,0.4423333333333333,0.3245333333333333,0.7222,1.36,4.14,5.5,1.9333333333333336,1.12,0.6333333333333333,1.7733333333333334,7.806666666666667,0.4970666666666667,5.0,9.0,Washington Mystics,77.1,33.0,19.2,6.5,3.2,100.0,105.7,76.9,0.53,9,0.3
Azzi Fudd,26.133333333333333,28.36,0.4419999999999999,0.3964666666666666,0.9412666666666668,0.6666666666666666,1.6333333333333333,2.333333333333333,2.333333333333333,1.6466666666666665,0.3333333333333333,1.36,14.413333333333334,0.5432,5.0,17.3,Dallas Wings,81.7,35.4,20.2,7.3,4.0,103.3,111.2,78.8,0.514,1,0.414
Cotie McMahon,33.1,30.54,0.4566,0.2989,0.6779999999999999,1.16,4.09,5.26,2.49,1.1800000000000002,0.39,2.6,17.14,0.4883999999999999,4.0,19.5,Washington Mystics,77.1,33.0,19.2,6.5,3.2,100.0,105.7,76.9,0.53,11,0.288
Flau'jae Johnson,35.0,28.8,0.4696,0.3811,0.7436,1.79,3.33,5.050000000000001,2.44,1.57,0.8300000000000001,2.12,15.34,0.5214000000000001,4.0,14.2,Seattle Storm,82.1,30.9,21.3,8.5,5.1,104.5,101.9,78.2,0.539,8,0.486
Gabriela Jaquez,36.5,26.95,0.5136000000000001,0.3462,0.7976000000000001,1.8800000000000003,3.3800000000000003,5.26,1.88,0.8300000000000001,0.1,1.36,10.91,0.5713,4.0,13.5,Chicago Sky,75.8,35.5,19.3,6.0,4.2,98.8,111.9,76.7,0.516,5,0.481
Gianna Kneepkens,29.0,27.8,0.5214666666666666,0.4524666666666667,0.875,0.78,3.6666666666666665,4.453333333333333,2.9066666666666667,1.2,0.3,1.7866666666666666,15.8,0.6493333333333333,5.0,12.8,Connecticut Sun,75.8,31.9,17.4,7.8,3.7,98.3,111.4,76.9,0.505,15,0.301
Kiki Rice,35.9,29.89,0.4724,0.3476,0.8764000000000001,1.07,3.95,5.0,4.42,1.42,0.43,1.97,13.6,0.5156000000000001,4.0,14.9,Toronto Tempo,81.70000000000002,33.95384615384615,20.32307692307692,,,105.36923076923075,105.34615384615388,77.31538461538462,0.542076923076923,6,0.496
Lauren Betts,34.1,26.51,0.616,0.0,0.6391,3.4700000000000006,5.109999999999999,8.580000000000002,2.3400000000000003,0.77,2.2,2.16,16.47,0.616,4.0,17.1,Washington Mystics,77.1,33.0,19.2,6.5,3.2,100.0,105.7,76.9,0.53,4,0.595
Madina Okot,37.33333333333333,23.066666666666663,0.5996666666666666,0.2986666666666666,0.6763333333333332,3.7,6.466666666666667,10.266666666666666,0.8999999999999999,1.3333333333333333,1.2999999999999998,2.2333333333333334,12.3,0.6116666666666666,2.0,12.8,Atlanta Dream,84.4,36.6,21.4,6.8,4.5,110.5,100.5,76.2,0.555,13,0.521
Olivia Miles,32.13333333333333,32.873333333333335,0.4758666666666666,0.3135333333333333,0.7651333333333333,0.5066666666666667,5.86,6.359999999999999,6.346666666666666,1.7133333333333334,0.2333333333333333,3.2666666666666666,15.946666666666667,0.5355333333333333,5.0,19.6,Minnesota Lynx,86.1,34.2,23.3,8.2,4.8,112.3,100.0,76.4,0.572,2,0.476
Raven Johnson,36.06666666666666,24.36,0.393,0.3134666666666666,0.6648000000000001,0.8933333333333333,3.0733333333333333,3.953333333333333,3.86,1.44,0.4533333333333333,1.34,6.786666666666667,0.4444,5.0,9.9,Indiana Fever,84.9,33.4,20.6,7.7,2.8,108.4,104.1,78.0,0.554,10,0.333
Taina Mair,35.6,30.79,0.4002,0.3362,0.8082,1.09,3.43,4.49,4.699999999999999,1.95,0.15,2.62,9.72,0.4619,4.0,11.6,Seattle Storm,82.1,30.9,21.3,8.5,5.1,104.5,101.9,78.2,0.539,14,0.326
